"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id_clean","gene_symbol"
"ENSG00000198689.13",1075.18152515813,-0.53086170505786,0.232483033635215,-2.28344278185403,0.0224042996454499,0.0529137332891263,"ENSG00000198689","SLC9A6"
"ENSG00000078699.22",2454.18489295522,0.2871307218476,0.125779475463605,2.28281061587575,0.0224415263712758,0.0529983614961825,"ENSG00000078699","CBFA2T2"
"ENSG00000174437.17",16592.264501807,0.282527635969268,0.123767428219985,2.28273011754838,0.0224462705805827,0.0530062703011764,"ENSG00000174437","ATP2A2"
"ENSG00000233122.2",23.9232880172847,0.618340524727005,0.270880435451058,2.28270647785017,0.0224476639636627,0.0530062703011764,"ENSG00000233122","CTAGE7P"
"ENSG00000282965.1",3.35405921221902,1.26990929534111,0.556339683303841,2.28261498047328,0.0224530577572162,0.0530157137043834,"ENSG00000282965",NA
"ENSG00000134489.7",7.29819273335874,-0.759707227880261,0.332827114738132,-2.28258814933993,0.0224546396729474,0.0530161559634244,"ENSG00000134489","HRH4"
"ENSG00000288010.1",0.892294838991529,-1.50968451360191,0.661466774044481,-2.28232856560742,0.0224699492701757,0.0530490076702106,"ENSG00000288010",NA
"ENSG00000140807.7",321.227004695108,-0.558003403299501,0.244512744546019,-2.2821035538885,0.0224832272375012,0.0530770591463459,"ENSG00000140807","NKD1"
"ENSG00000139154.16",1850.92207922871,-0.305305154770296,0.133795045831577,-2.28188684321406,0.0224960218064357,0.0531006686725647,"ENSG00000139154","AEBP2"
"ENSG00000232715.1",0.798919002280439,2.72058479440927,1.19224086021325,2.28190870251054,0.0224947309495839,0.0531006686725647,"ENSG00000232715",NA
"ENSG00000229892.1",1.07921575752457,2.52879048666343,1.10846815705856,2.28133796226844,0.0225284559824838,0.0531739261253024,"ENSG00000229892",NA
"ENSG00000225762.1",16.1022075746962,0.790837457697471,0.346682186372665,2.28115977337054,0.0225389941605187,0.0531933438091115,"ENSG00000225762",NA
"ENSG00000233927.5",11103.5482658635,0.454365345368321,0.199184512459777,2.28112788367557,0.0225408805845318,0.0531933438091115,"ENSG00000233927","RPS28"
"ENSG00000274173.1",1278.30876693231,0.783643621089031,0.343532714749134,2.28113244370711,0.022540610829015,0.0531933438091115,"ENSG00000274173",NA
"ENSG00000253622.1",1.09210952791411,2.5332462640107,1.11054008948024,2.28109393619128,0.0225428888871697,0.0531947809463537,"ENSG00000253622",NA
"ENSG00000170356.9",93.9276964082756,-0.702977695527434,0.308193106058901,-2.28096502389993,0.0225505166391054,0.0532094773779151,"ENSG00000170356","OR2A20P"
"ENSG00000125821.13",636.968549113643,0.420661657815824,0.184457553434372,2.28053365114967,0.0225760573191205,0.0532664361337119,"ENSG00000125821","DTD1"
"ENSG00000171984.15",240.324828747132,0.335597123444586,0.147195635358474,2.27993936523517,0.022611284923254,0.0533432146068154,"ENSG00000171984","SHLD1"
"ENSG00000261114.1",11.5070818427435,-0.557136240707543,0.244364715910445,-2.27993734132927,0.0226114049763047,0.0533432146068154,"ENSG00000261114",NA
"ENSG00000130045.16",174.664793265745,1.15008039647276,0.504456901701094,2.27983875846388,0.0226172533367519,0.0533537006265357,"ENSG00000130045","NXNL2"
"ENSG00000224714.3",1.03596843419335,2.17828462863025,0.955587489712214,2.27952401227675,0.0226359342368016,0.0533944552005468,"ENSG00000224714","LINC02671"
"ENSG00000243020.1",1.04617066398013,1.4207768449146,0.62333430306125,2.27931759560968,0.0226481928135622,0.053420056450181,"ENSG00000243020","RPL7P39"
"ENSG00000287713.1",1.43239456940562,1.43996629628582,0.631760962505323,2.2792897658245,0.0226498459971391,0.0534206412446485,"ENSG00000287713",NA
"ENSG00000200356.1",3.98180226998707,-0.959341281437856,0.420922584979259,-2.27913947997143,0.0226587752986222,0.0534383859406366,"ENSG00000200356","RNU6-833P"
"ENSG00000279953.1",10.4181422216424,0.513268548972193,0.225223862176267,2.27892614935487,0.0226714556863042,0.0534649744364054,"ENSG00000279953",NA
"ENSG00000274685.1",0.701988648406169,1.67160124551692,0.733682531797909,2.27837132965483,0.0227044630889295,0.0535394928556328,"ENSG00000274685",NA
"ENSG00000264207.1",4.04265583486931,0.943310476169,0.414035565474431,2.27833199567793,0.0227068047351517,0.0535416934627708,"ENSG00000264207",NA
"ENSG00000164758.7",557.241489560549,0.426626421373612,0.187278443880026,2.27803271179953,0.0227246286982537,0.0535803981866969,"ENSG00000164758","MED30"
"ENSG00000276231.5",116.210709953737,0.435972483073941,0.19139928920708,2.27781662554791,0.0227375053521779,0.0536074340091196,"ENSG00000276231","PIK3R6"
"ENSG00000141425.18",4415.66654618439,0.353727179412858,0.155296823237733,2.27774897153796,0.0227415381808658,0.0536136169888752,"ENSG00000141425","RPRD1A"
"ENSG00000122545.20",10495.2005297212,-0.214640937052844,0.0942451244992675,-2.27747523485432,0.022757861861445,0.0536454664004427,"ENSG00000122545","SEPTIN7"
"ENSG00000286134.2",2.7393267379933,1.82316812863324,0.800521653532571,2.27747509463098,0.0227578702259618,0.0536454664004427,"ENSG00000286134",NA
"ENSG00000115977.20",2960.76538236743,-0.316652933833821,0.139038432719287,-2.27744895882947,0.0227594293093636,0.0536458150542818,"ENSG00000115977","AAK1"
"ENSG00000147874.11",1521.40788708482,0.369644792843948,0.162317382667223,2.27729641009416,0.0227685311767543,0.0536606145495545,"ENSG00000147874","HAUS6"
"ENSG00000255529.9",1500.19129293308,-0.30673722550897,0.134692195789078,-2.27731995689868,0.0227671260430126,0.0536606145495545,"ENSG00000255529","POLR2M"
"ENSG00000214222.2",4.22390298613714,0.837929444420298,0.367977786840399,2.27711963707127,0.0227790823495009,0.0536774683070629,"ENSG00000214222",NA
"ENSG00000223695.1",5.63122736698285,0.818349089399186,0.359384991571326,2.27708198336594,0.022781330360809,0.0536774683070629,"ENSG00000223695","MYH9-DT"
"ENSG00000234160.1",115.355864826484,-0.493818446754672,0.216860814563299,-2.27712160792669,0.0227789646902861,0.0536774683070629,"ENSG00000234160",NA
"ENSG00000259408.2",10.806457484148,-0.753586421701024,0.330943054828676,-2.27708788779732,0.0227809778401682,0.0536774683070629,"ENSG00000259408",NA
"ENSG00000082074.19",1473.51916718738,0.539291205491679,0.236843096153384,2.27699778566661,0.0227863578511815,0.0536836576317741,"ENSG00000082074","FYB1"
"ENSG00000258925.2",3.1518058333357,0.879974957516681,0.386464011906257,2.27699069099901,0.0227867815216706,0.0536836576317741,"ENSG00000258925",NA
"ENSG00000279628.1",0.638047005704154,-1.54046630212296,0.676593717081289,-2.27679664063136,0.0227983722329279,0.0537076358948226,"ENSG00000279628",NA
"ENSG00000178718.7",694.898257905271,0.627420988269516,0.275582569823829,2.27670780728478,0.0228036799956212,0.0537134825598576,"ENSG00000178718","RPP25"
"ENSG00000277806.1",44.3559649497447,0.524797125514764,0.230506216628991,2.2767157137434,0.0228032075438464,0.0537134825598576,"ENSG00000277806",NA
"ENSG00000254831.1",0.589360371455742,1.71468107996004,0.753163507040105,2.27663855714233,0.0228078184130907,0.053719901919061,"ENSG00000254831","KRT18P58"
"ENSG00000229671.3",18.8127428534088,-0.667931598323734,0.293445408767201,-2.27616987135629,0.0228358444282157,0.0537792482925671,"ENSG00000229671",NA
"ENSG00000234751.1",2.33543867851421,1.03515785940471,0.454777874060246,2.27618342590602,0.0228350334865498,0.0537792482925671,"ENSG00000234751","RPL15P16"
"ENSG00000272195.1",14.3163814920516,-0.661081182706037,0.290441217918075,-2.27612729159023,0.022838392053414,0.0537819162429867,"ENSG00000272195",NA
"ENSG00000287431.1",59.0314727315228,0.754318893710706,0.331412952098771,2.27606944428018,0.0228418535592653,0.0537867358185995,"ENSG00000287431","RENO1"
"ENSG00000173868.12",33.6263629019125,-0.719574884471234,0.316156180761782,-2.276010808131,0.0228453627333509,0.0537916670367504,"ENSG00000173868","PHOSPHO1"
"ENSG00000163221.9",17.0124222892995,-1.53541920120255,0.674634139543046,-2.27592870150707,0.0228502773226064,0.0537999066281979,"ENSG00000163221","S100A12"
"ENSG00000287841.1",1.09930996380412,2.35598131186609,1.03523163980724,2.27580110699164,0.0228579164662357,0.0538145596373289,"ENSG00000287841",NA
"ENSG00000227674.3",3.04242730935347,3.28490516273505,1.44342691728268,2.27576825913642,0.022859883441843,0.0538158576320079,"ENSG00000227674","LINC00355"
"ENSG00000123965.13",59.7348349346256,0.532751412630238,0.234122348137017,2.27552566796593,0.0228744146948066,0.0538467319724487,"ENSG00000123965",NA
"ENSG00000078246.17",1713.15005098806,-0.244332571273551,0.10737764008054,-2.27545111896932,0.0228788818041308,0.0538539128039648,"ENSG00000078246","TULP3"
"ENSG00000171658.8",13.5255600543578,-1.09594757297914,0.481659154402602,-2.27535916832814,0.0228843926949823,0.0538635495201383,"ENSG00000171658",NA
